Rozwi¹zania anlityczne i numeryczne dla ró¿nych te[0,2] 
                   x        (anal)t=0.2s        (anal)t=0.4s          (anal)t=1s        (anal)t=1.6s          (anal)t=2s       (numer)t=0.2s       (numer)t=0.4s         (numer)t=1s       (numer)t=1.6s       (numer)t=2s

                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                1.04 0.08695098927778373 0.07276018435546161 0.06015824489600472 0.05561514856051152 0.05380444945558067 0.08710484371964895 0.07281454463738547 0.06017199163278401 0.05562194022757321 0.05380930901536229
                1.08  0.1672748254061426  0.1400647457733312  0.1158436168010413  0.1071023997497034  0.1036174756533901  0.1675680289736147  0.1401688923104602  0.1158700367441286  0.1071154629444038  0.1036268250458255
                1.12  0.2415040246740763  0.2024349730873112  0.1675192807083108  0.1548960783695043  0.1498610404537619  0.2419207147809809  0.2025843016906907  0.1675573623721722  0.1549149322963284  0.1498745401810036
                1.16  0.3101017600608955  0.2603209853555856  0.2155845912422567  0.1993706253751697   0.192898917265495     0.3106250675548  0.2605108802895074  0.2156333772135438  0.1993948232687109  0.1929162539411438
                 1.2  0.3734753049617927  0.3141139385348992  0.2603857633485703  0.2408505895744711  0.2330463954617144   0.374087718118445  0.3143397946968868  0.2604443439198399  0.2408797143252344   0.233067278404065
                1.24  0.4319867633157652  0.3641558594641369  0.3022244772741287  0.2796186853691834  0.2705781064848121  0.4326704944518773  0.3644131070761269  0.3022919853671683  0.2796523459064158  0.2706022648832851
                1.28  0.4859616483876408  0.4107476231320027  0.3413648695803556  0.3159223395665675  0.3057343825092281  0.4866989926920949  0.4110317540147437  0.3414404767097278  0.3159601678552514  0.3057615630561789
                1.32  0.5356957398384578  0.4541554642907163  0.3780392524228067  0.3499790477367256  0.3387264589264126   0.536469416651749  0.4544620588981402  0.3781221655014089  0.3500206962759641  0.3387564238292949
                1.36  0.5814605518575661  0.4946163226661812  0.4124528228078639  0.3819807851860396  0.3697407586777943  0.5822540195823115  0.4949410771479983  0.4125422816355188  0.3820259249190742  0.3697732839840883
                 1.4  0.6235076736674734  0.5323422528438744  0.4447875637217696  0.4120976616013409  0.3989424420558606  0.6243054107213755  0.5326810054878619   0.444882839028205  0.4121459801652114  0.3989773162366196
                1.44  0.6620721904416321  0.5675240788081288  0.4752054941660608  0.4404809664078683  0.4264783647891859  0.6628599361097125  0.5678728352917898  0.4753058861033343  0.4405321666645386  0.4265153875375208
                1.48  0.6973753525242493  0.6003344344628951  0.5038513911849939  0.4672657200915727  0.4524795563483718  0.6981403031632927  0.6006893914194205  0.5039562281831028  0.4673195188931973  0.4525185375573891
                1.52  0.7296266302050426  0.6309303019832435  0.5308550810629921   0.492572822473709  0.4770633068444206  0.7303575879298537  0.6312878684601786  0.5309637189772668  0.4926289496232771  0.4771040657356145
                1.56  0.7590252675973886  0.6594551371827905  0.5563333769416876  0.5165108702621544  0.5003349327638414  0.7597127402651729  0.6598119536440158  0.5564451984324994  0.5165690676375727  0.5003772971420852
   1.600000000000001   0.785761430532556   0.686040653524687  0.5803917246619538  0.5391777017397376  0.5223892777361896  0.7863976834711019  0.6863936081173568  0.5805061387569349  0.5392377225548776  0.5224330833516024
   1.640000000000001  0.8100170284668247  0.7108083227028487  0.6031256065826714  0.5606617151608188  0.5433119935650232  0.8105960899029893  0.7111545645805218  0.6032420483795505  0.5607233233414668   0.543357083565306
   1.680000000000001  0.8319662782242182  0.7338706389532018   0.624621743657534  0.5810429985574459  0.5631806381381274   0.832483901709099  0.7342075885140887  0.6247396741322125  0.5811059682136696  0.5632268625976582
