Rozwi¹zania anlityczne i numeryczne dla ró¿nych te[0,2] 
                   x        (anal)t=0.2s        (anal)t=0.4s          (anal)t=1s        (anal)t=1.6s          (anal)t=2s       (numer)t=0.2s       (numer)t=0.4s         (numer)t=1s       (numer)t=1.6s       (numer)t=2s

                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                1.04   0.086912295775755 0.07276018435546178 0.06016171627633862 0.05561514856051197 0.05380690458320995 0.08489604471642079 0.07095211284711631  0.0585329216175661  0.0540462979111542 0.05226065824961917
                1.08  0.1672007500185962  0.1400647457733315  0.1158502944032087  0.1071023997497043  0.1036222012107036  0.1635517015162465  0.1367735694571994  0.1128690258552712  0.1042242867986131  0.1007827828274149
                1.12  0.2413979451778416  0.2024349730873117  0.1675289200817442  0.1548960783695055  0.1498678688020185  0.2364437122663655  0.1979348219202976  0.1634271131895155   0.150926538499273  0.1459476745516516
                1.16  0.3099670949934496  0.2603209853555862  0.2155969658475751  0.1993706253751713  0.1929076954827104  0.3039886059003443  0.2548441247685884  0.2105701761464431  0.1944932851018651  0.1880857933637703
                 1.2  0.3733154851359033     0.3141139385349  0.2604006622553229  0.2408505895744731  0.2330569833956835  0.3665542004549793  0.3078579022605885   0.254614437372098  0.2352208729103723  0.2274849656469055
                1.24  0.4318052014595911  0.3641558594641378   0.302241703256857  0.2796186853691857  0.2705903751250168  0.4244688545176823  0.3572891628237156  0.2958366924353764  0.2733686310560649  0.2643970525154677
                1.28  0.4857617080215514  0.4107476231320036  0.3413842375376946    0.31592233956657  0.3057482126177875  0.4780289160460565  0.4034143721073671  0.3344803168884376  0.3091644910469786   0.299043405545111
                1.32  0.5354807043983905  0.4541554642907174  0.3780605880601785  0.3499790477367284   0.338741739880912  0.5275047141419816  0.4464790994044885  0.3707602125087329  0.3428096144123231  0.3316193595925999
                1.36  0.5812335949679662  0.4946163226661823  0.4124759615364273  0.3819807851860426  0.3697573874885286  0.5731453639477574  0.4867026804091532  0.4048669048031271  0.3744822268170854  0.3622979552897177
                 1.4  0.6232718313532783  0.5323422528438755  0.4448123497356409  0.4120976616013442  0.3989603225275096  0.6151825987716635  0.5242820854692991   0.436969956723766  0.4043408129362313  0.3912330409968814
                1.44  0.6618303359485364  0.5675240788081301   0.475231779667096  0.4404809664078718  0.4264974068027583  0.6538338014831371  0.5593951418033696   0.467220827880328  0.4325267930162541  0.4185618716145424
                1.48  0.6971301742910201  0.6003344344628964  0.5038790357301354  0.4672657200915764  0.4524996752438136  0.6893043753253189  0.5922032271208708  0.4957552813165532  0.4591667765921018  0.4444072969339378
                1.52  0.7293806134031521  0.6309303019832447  0.5308839510136981  0.4925728224737128  0.4770844228878901  0.7217895698301734  0.6228535282381179  0.5226954189840459  0.4843744692435006  0.4688796131963229
                1.56  0.7587806795244314  0.6594551371827918  0.5563633449985602  0.5165108702621584  0.5003569706865102  0.7514758585005655  0.6514809398123363  0.5481514108226878   0.508252293097387   0.492078136795384
   1.600000000000001  0.7855203100198104  0.6860406535246885  0.5804226694705674  0.5391777017397417  0.5224121663337241   0.778541949896247   0.678209663913113  0.5722229696953821  0.5308927699377198  0.5140925475576564
   1.640000000000001  0.8097811793409032  0.7108083227028501  0.6031574123989347  0.5606617151608231  0.5433356653487439  0.8031595016682891  0.7031545598380725  0.5950006144770464  0.5523797064769996  0.5350040400002829
   1.680000000000001  0.8317372667508806  0.7338706389532031  0.6246543000628126  0.5810429985574503  0.5632050290303362  0.8254935971553214  0.7264222846363683  0.6165667557326032  0.5727892139850294  0.5548863138212283
